User ID,Best Rating,Contests Participated,Problems Solved,Average Problem Rating,Best Rank,Average Rank best 50,Average Rank ,Current Job Status,Engagement (Contests per Month),Average Submissions per Day,Acceptance Ratio,solved_800_1100,solved_1200_1400,solved_1500_1800,solved_1900_2100,solved_2100_plus,greedy,math,implementation,constructive algorithms,brute force,dp,data structures,sortings,binary search,strings,number theory,dfs and similar,graphs,two pointers,trees,bitmasks,combinatorics,shortest paths,dsu,games,hashing,divide and conquer,interactive,geometry,*special,probabilities,flows,ternary search,string suffix structures,expression parsing,Other
Raiden,2304,253,2510,1906.015936,23,209.42,700,3,3.593714551,2.78442811,0.454668015,517,301,456,417,779,977,877,586,566,493,672,571,350,336,207,232,305,295,207,263,209,211,88,109,57,78,104,65,62,6,48,21,19,45,4,91
SA01,2403,88,1909,1503.981142,43,396.64,542.66,3,1.592219835,1.844030981,0.492412747,302,219,402,294,403,712,568,416,418,328,407,331,242,238,142,143,178,192,140,135,133,128,52,65,36,41,52,54,52,4,24,30,16,13,2,80
nh_nayeem,1981,240,2074,1373.770492,55,638.08,1832.88,3,3.364453228,1.739827243,0.508250058,725,407,430,222,142,860,786,571,450,394,365,293,292,230,188,189,127,127,131,81,123,104,32,42,47,33,37,39,48,3,15,11,14,12,1,37
SajidZakaria,1997,352,2648,1270.015106,67,347.68,1522.7,3,3.726291646,2.545325325,0.395499724,1065,494,499,201,100,1058,898,810,549,523,371,306,338,253,225,195,141,141,158,91,118,105,41,52,67,35,38,27,47,26,13,13,13,11,2,29
flash_7,2073,211,940,1531.808511,37,227.94,1423.22,3,2.645330362,0.881317023,0.490279753,299,219,275,91,33,259,276,396,156,165,147,105,114,85,87,75,66,69,46,49,30,48,17,23,13,7,7,8,26,2,8,1,6,2,4,6
sdpsarker88,1843,130,703,1205.6899,92,531.52,968.34,2,1.251243501,0.492308169,0.465043695,283,155,135,35,19,137,180,316,87,107,61,51,58,34,67,53,35,36,12,30,15,15,13,12,13,8,6,4,22,3,7,1,1,1,2,8
Castle_Master,1393,74,385,1184.415584,1117,2303.98,2598.28,1,2.001953859,0.529533026,0.36443662,236,105,40,3,1,89,116,223,45,78,24,17,53,23,43,25,22,23,14,8,3,2,3,7,5,2,2,0,5,6,0,0,0,1,0,2
comfi,2316,147,836,1579.665072,29,153.36,427.46,3,2.823221871,1.093768157,0.483547128,189,135,237,128,114,191,210,317,124,151,165,108,85,67,68,58,81,63,24,64,39,44,15,22,20,14,18,9,37,6,16,6,3,5,3,22
f.a.h.i.m,1651,98,299,1453.511706,286,1039.46,1579.82,2,1.311961077,0.28022327,0.393627955,136,78,55,4,3,65,87,150,49,63,24,12,33,17,31,18,12,11,6,5,5,9,0,4,4,2,0,3,9,3,1,0,0,0,1,0
fahim_ahmed_shojib,1607,126,1464,1279.918033,430,1656.2,3186.14,2,2.878743406,1.892629161,0.52123424,653,332,318,87,12,531,459,593,224,265,184,138,195,106,151,103,85,79,80,49,32,33,18,25,25,10,12,7,16,13,3,2,8,4,4,9
